dataset_name,machine_type,section,domain,split,label,audio_path
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0001_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0002_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0003_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0004_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0005_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0006_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0007_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0008_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0009_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0010_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0011_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0012_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0013_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0014_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0015_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0016_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0017_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0018_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0019_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0020_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0021_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0022_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0023_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0024_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0025_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0026_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0027_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0028_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0029_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0030_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0031_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0032_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0033_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0034_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0035_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0036_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0037_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0038_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0039_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0040_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0041_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0042_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0043_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0044_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0045_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0046_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0047_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0048_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0049_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0050_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0051_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0052_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0053_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0054_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0055_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0056_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0057_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0058_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0059_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0060_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0061_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0062_mdl_A_spd_2.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0063_mdl_A_spd_1.wav
dcase2024_additional,3DPrinter,section_00,source,train,normal,C:/Users/LENOVO/Desktop/acoustic-anomaly-detection/data/raw/dcase2024_additional/unpacked/3DPrinter/train/section_00_source_train_normal_0064_mdl_A_spd_2.wav
