dataset_name,machine_type,section,domain,split,label,audio_path,feature_path
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0001_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0001_noAttribute.npy
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0002_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0002_noAttribute.npy
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0003_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0003_noAttribute.npy
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0004_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0004_noAttribute.npy
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0005_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0005_noAttribute.npy
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0006_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0006_noAttribute.npy
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0007_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0007_noAttribute.npy
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0008_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0008_noAttribute.npy
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0009_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0009_noAttribute.npy
dcase2024_development,ToyTrain,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/dcase2024_development/unpacked/ToyTrain/test/section_00_source_test_anomaly_0010_noAttribute.wav,data/processed/features/dcase2024_development/ToyTrain/test/section_00_source_test_anomaly_0010_noAttribute.npy
