dataset_name,machine_type,section,domain,split,label,audio_path,feature_path
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0000.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0000.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0001.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0001.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0002.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0002.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0003.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0003.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0004.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0004.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0005.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0005.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0006.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0006.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0007.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0007.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0008.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0008.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0009.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0009.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0010.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0010.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0011.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0011.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0012.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0012.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0013.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0013.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0014.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0014.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0015.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0015.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0016.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0016.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0017.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0017.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0018.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0018.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0019.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0019.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0020.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0020.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0021.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0021.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0022.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0022.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0023.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0023.npy
mimii_due,fan,section_00,source,test,anomaly,/home/charbel-mezeraani/acoustic-anomaly-detection/data/raw/mimii_due/unpacked/fan/source_test/section_00_source_test_anomaly_0024.wav,data/processed/features/mimii_due/fan/test/section_00_source_test_anomaly_0024.npy
